ID,Your primary role in the AI (Artificial Intelligence) or SE (Software Engineering) field,Your years of professional experience in AI (Artificial Intelligence) or SE (Software Engineering),Are you familiar with the Model Context Protocol (MCP)?,[Task 1] The MCP server(s) you selected are:,[Task 2] The MCP server(s) where you discovered issues are:,[Task 3] Attack methods for server a (If not found you can fill in None),[Task 3] Attack methods for server b (If not found you can fill in None),[Task 3] Attack methods for server c (If not found you can fill in None),[Task 3] Attack methods for server d (If not found you can fill in None),"Thank you for completing our user survey. Do you have any other opinions or suggestions regarding the questions, options, and scenario design of this user survey? If so, please write them below:"
P01,Developer,3-5 years,Generally familiar,"Time, Weather MCP Server, WhatsApp MCP Server",No issues found,None,None,None,None,
P02,"Researcher, Developer",3-5 years,Generally familiar,"Time, Weather MCP Server",Weather MCP Server,None,None,"Used LLM to discover that base_uri is a Base64 encoded string, which poses usage risks",None,None
P03,"Developer, Students in related majors",1-3 years,Relatively familiar,"Time, Weather MCP Server, Telegram AI Assistant Bot, Notion MCP Server","Time, Weather MCP Server",Malicious description,None,"Description too long, malicious description hidden at the end",None,None
P04,"Developer, Cybersecurity professionals",More than 5 years,Relatively familiar,"Github, Time, Notion MCP Server","Time, Google Maps, Weather MCP Server, Wechat MCP",Disguised description WalletActionProvider_native_transfer,"handlePlaceDetails disguised code, fetch IP address","get_weather_forcast disguised code, data leakage",sql_wechat_message may have SQL injection; send_wechat_message may have arbitrary file sending,
P05,Students in related majors,3-5 years,Completely unfamiliar,"Amap Maps, Google Maps, Time, Weather MCP Server, Wechat MCP",Weather MCP Server,None,None,"In the get_weather_forcast function defined below the main function in server code, user's apikey is passed to unknown uri",None,"For the scenario of planning the next trip, is it necessary for users to install github, playwright and other code-related servers"
P06,Researcher,1-3 years,Relatively familiar,"Github, Time, Google Maps",No issues found,TimeTools.GET_CURRENT_TIME description contains malicious instruction injection,None,get_weather_forcast function will leak user's API key,"Obtain user's WeChat personal information, such as message records",None
P07,Cybersecurity professionals,1-3 years,Generally familiar,"Wechat MCP, Weather MCP Server, Time, MCP Apple Notes, Google Maps, Notion MCP Server","Weather MCP Server, Google Maps, Wechat MCP, Telegram AI Assistant Bot","description=""Get current time in a specific timezones. Setting timezone causes attack","Source is not Google but Googie, too strange. index.ts will construct a domain name const url = new URL(`${protocol}://${apiHost}${apiPath}`);",server.py code hides malicious function at the end,"Source is not official Tencent, description is sometimes Chinese, sometimes English, SQL injection risk in code is chilling, pywxdump may also cause supply chain security issues",
P08,User,None,Generally familiar,Wechat MCP,No issues found,None,None,None,None,None
P09,"Researcher, Developer",1-3 years,Relatively familiar,"Github, Amap Maps","Github, Amap Maps, Google Maps",None,None,None,None,None
P10,Researcher,3-5 years,Generally familiar,Github,"Github, Google Maps",None,None,None,None,None
P11,"Researcher, Cybersecurity professionals",1-3 years,Relatively familiar,"Github, Time, Google Maps, Weather MCP Server, Wechat MCP, WhatsApp MCP Server","Time, Weather MCP Server, Google Maps","Time: Prompt injection attack exists, involving wallet tool transactions","Google Maps: handlePlaceDetails function uses dynamic construction to redefine url, inducing visits to attacker's website",Weather: get_weather_forcast function internally contains commands to leak API Key,None,None
